#K-Path(1/A) Energy-Level(eV)
# NKPTS & NBANDS: 140  68
# Band-Index    1
   3.48921    -13.166367
   3.52963    -13.204404
   3.57006    -13.241091
   3.61048    -13.275760
   3.65091    -13.307805
   3.69133    -13.336686
   3.73176    -13.361926
   3.77218    -13.383136
   3.81261    -13.399984
   3.85303    -13.412203
   3.89346    -13.419605
   3.93388    -13.422076
   3.93388    -13.422076
   3.98265    -13.418471
   4.03141    -13.407708
   4.08018    -13.390039
   4.12894    -13.365903
   4.17771    -13.335890
   4.22648    -13.300733
   4.27524    -13.261356
   4.32401    -13.218829
   4.37277    -13.174388
   4.42154    -13.129423
   4.47030    -13.085465
   4.51907    -13.044177
   4.56784    -13.007285
   4.61660    -12.976316
   4.66537    -12.952206
   4.71413    -12.934937
   4.76290    -12.923686
   4.81166    -12.917418
   4.86043    -12.915411
 
# Band-Index    2
   4.86043    -12.797204
   4.81166    -12.798879
   4.76290    -12.804229
   4.71413    -12.813441
   4.66537    -12.825391
   4.61660    -12.838210
   4.56784    -12.850560
   4.51907    -12.861983
   4.47030    -12.872553
   4.42154    -12.882463
   4.37277    -12.891835
   4.32401    -12.900669
   4.27524    -12.908882
   4.22648    -12.916344
   4.17771    -12.922918
   4.12894    -12.928477
   4.08018    -12.932908
   4.03141    -12.936126
   3.98265    -12.938078
   3.93388    -12.938732
   3.93388    -12.938732
   3.89346    -12.938030
   3.85303    -12.935936
   3.81261    -12.932494
   3.77218    -12.927769
   3.73176    -12.921860
   3.69133    -12.914889
   3.65091    -12.907010
   3.61048    -12.898399
   3.57006    -12.889257
   3.52963    -12.879806
   3.48921    -12.870288
   3.44878    -12.860957
   3.40836    -12.852074
   3.36793    -12.843889
   3.32751    -12.836639
   3.28708    -12.830533
   3.24666    -12.825754
   3.20623    -12.822541
   3.16581    -12.821360
   3.16581    -12.951800
   3.13355    -12.964872
   3.10130    -12.980135
   3.06904    -12.991608
   3.03678    -12.998500
   3.00453    -13.001460
   2.97227    -13.001456
   2.94002    -12.999266
   2.90776    -12.995435
   2.87550    -12.990356
   2.84325    -12.984355
   2.81099    -12.977727
   2.77873    -12.970769
   2.74648    -12.963788
   2.71422    -12.957102
   2.68197    -12.951038
   2.64971    -12.945912
   2.61745    -12.942010
   2.58520    -12.939564
   2.55294    -12.938732
   2.55294    -12.938732
   2.50617    -12.937824
   2.45939    -12.935137
   2.41262    -12.930772
   2.36584    -12.924910
   2.31907    -12.917818
   2.27229    -12.909848
   2.22552    -12.901431
   2.17874    -12.893024
   2.13197    -12.885007
   2.08519    -12.877531
   2.03842    -12.870391
   1.99164    -12.863056
   1.94487    -12.854801
   1.89809    -12.844904
   1.85132    -12.832946
   1.80454    -12.819338
   1.75777    -12.805755
   1.71099    -12.795098
   1.66421    -12.790944
   1.66421    -13.169977
   1.64290    -13.164720
   1.62158    -13.152016
   1.60026    -13.135916
   1.57895    -13.118406
   1.55763    -13.100364
   1.53631    -13.082257
   1.51499    -13.064393
   1.49368    -13.047009
   1.47236    -13.030310
   1.45104    -13.014495
   1.42973    -12.999743
   1.40841    -12.986232
   1.38709    -12.974132
   1.36577    -12.963607
   1.34446    -12.954799
   1.32314    -12.947832
   1.30182    -12.942795
   1.28051    -12.939750
   1.25919    -12.938732
   1.25919    -12.938732
   1.23470    -12.938555
   1.21022    -12.938045
   1.18574    -12.937260
   1.16125    -12.936306
   1.13677    -12.935357
   1.11228    -12.934689
   1.08780    -12.934724
   1.06332    -12.936078
   1.03883    -12.939565
   1.01435    -12.946012
   0.98986    -12.955895
   0.96538    -12.969058
   0.94090    -12.984846
   0.91641    -13.002416
   0.89193    -13.020859
   0.86744    -13.039111
   0.84296    -13.055661
   0.81848    -13.068040
   0.79399    -13.072821
   0.79399    -12.818932
   0.75220    -12.824201
   0.71041    -12.834387
   0.66862    -12.844609
   0.62684    -12.853923
   0.58505    -12.862559
   0.54326    -12.870844
   0.50147    -12.878946
   0.45968    -12.886898
   0.41789    -12.894644
   0.37610    -12.902089
   0.33431    -12.909115
   0.29252    -12.915607
   0.25073    -12.921454
   0.20895    -12.926564
   0.16716    -12.930857
   0.12537    -12.934265
   0.08358    -12.936735
   0.04179    -12.938231
   0.00000    -12.938732
 
# Band-Index    3
   0.00000    -12.785503
   0.04179    -12.784854
   0.08358    -12.782931
   0.12537    -12.779817
